attempt,serialization,deserialization,upload,download
1,9.959656715393066,2.256507396697998,0.4351506233215332,0.3610191345214844
2,9.470184087753296,2.1314492225646973,0.41663408279418945,0.32842183113098145
3,9.632824420928955,2.2017011642456055,0.4100990295410156,0.3290109634399414
4,9.744686126708984,2.1237385272979736,0.45029616355895996,0.38610172271728516
5,9.549590349197388,2.0718770027160645,0.4300110340118408,0.37890625
6,9.453938961029053,2.1036224365234375,0.44420933723449707,0.3280458450317383
7,9.378193378448486,2.0743613243103027,0.449174165725708,0.3380119800567627
8,9.350973129272461,2.133418321609497,0.43605899810791016,0.32137393951416016
9,9.435125827789307,2.1015820503234863,0.4306209087371826,0.3581979274749756
10,9.372124433517456,2.060622453689575,0.44723033905029297,0.31586170196533203
