attempt,serialization,deserialization,sending,receiving
1,2.8830833435058594,8.14946436882019,6.254538536071777,3.8304998874664307
2,1.8303229808807373,8.259377717971802,6.092504262924194,3.81563401222229
3,1.8295888900756836,8.202782392501831,6.029412031173706,3.8067426681518555
4,1.822559118270874,8.769669771194458,6.246506452560425,3.820732831954956
5,1.8326342105865479,8.474857091903687,6.1135571002960205,3.8221287727355957
6,1.8475492000579834,8.201958894729614,5.951438903808594,3.8491668701171875
7,1.9432621002197266,8.439695119857788,6.011776924133301,3.8196420669555664
8,1.8437755107879639,8.351993799209595,5.996506690979004,3.9362857341766357
9,1.8424327373504639,8.673176288604736,6.016126394271851,3.8340904712677
10,1.9831552505493164,8.46113395690918,6.170524835586548,3.880610704421997
